Interval=	0.0025 s
ExcelDateTime=	4.4993566444580458e+004	3/8/2023 13:35:40.811751
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.5275	-21.97119
2.53	-22.82266
2.5325	-22.47109
2.535	-20.96359
2.5375	-19.80383
2.54	-18.356
2.5425	-13.71629
2.545	-5.545962
2.5475	3.008334
2.55	9.319137
2.5525	13.7759
2.555	18.48089
2.5575	24.4912
2.56	30.16711
2.5625	33.26355
2.565	33.81902
2.5675	33.56599
2.57	33.32058
2.5725	32.35042
2.575	30.52255
2.5775	28.3648
2.58	25.74542
2.5825	22.76152
2.585	19.853
2.5875	16.3108
2.59	11.12276
2.5925	4.719028
2.595	-1.801073
2.5975	-7.537158
2.6	-12.56685
2.6025	-17.82939
2.605	-23.77329
2.6075	-30.06421
2.61	-35.56788
2.6125	-38.61687
2.615	-38.337
2.6175	-35.67281
2.62	-32.23881
2.6225	-28.7359
2.625	-24.89849
2.6275	-20.86746
2.63	-17.35013
2.6325	-14.31311
2.635	-10.9169
2.6375	-6.11587
2.64	0.9883817
2.6425	10.16717
2.645	18.23237
2.6475	21.28634
2.65	19.73646
2.6525	17.20146
2.655	15.26779
2.6575	13.64761
2.66	12.6669
2.6625	12.85228
2.665	14.27086
2.6675	16.03806
2.67	16.12172
2.6725	13.44492
2.675	9.646379
2.6775	6.325736
2.68	2.570731
2.6825	-2.558939
2.685	-8.197199
2.6875	-13.30542
2.69	-17.35971
2.6925	-20.05643
2.695	-21.69196
2.6975	-22.00065
2.7	-19.8931
2.7025	-15.55658
2.705	-10.39107
2.7075	-4.958099
2.71	1.176789
2.7125	7.775483
2.715	13.42699
2.7175	16.94732
2.72	18.46348
2.7225	18.70995
2.725	18.61857
2.7275	19.25632
2.73	20.96937
2.7325	23.47554
2.735	26.25721
2.7375	28.09095
2.74	28.06606
2.7425	26.84694
2.745	25.63246
2.7475	24.6657
2.75	23.74121
2.7525	23.14424
2.755	22.74474
2.7575	21.56185
2.76	18.93532
2.7625	15.0976
2.765	10.96677
2.7675	7.758089	#* song 8 
2.77	5.998026
2.7725	5.254776
2.775	5.113134
2.7775	5.208421
2.78	5.809554
2.7825	8.157478
2.785	12.7371
2.7875	18.39147
2.79	23.78701
2.7925	28.38474
2.795	31.51378
2.7975	32.67553
2.8	31.8711
2.8025	28.95963
2.805	23.99379
2.8075	18.16593
2.81	13.13467
2.8125	9.410239
2.815	6.832774
2.8175	5.668073
2.82	6.180642
2.8225	7.731461
2.825	9.632996
