Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.73	1.953357
1.7325	-3.486602
1.735	-8.451128
1.7375	-12.23972
1.74	-15.61093
1.7425	-19.85167
1.745	-25.59931
1.7475	-32.48151
1.75	-38.96616
1.7525	-43.21755
1.755	-45.03723
1.7575	-45.57948
1.76	-45.06549
1.7625	-42.86841
1.765	-39.43911
1.7675	-35.99084
1.77	-33.25464
1.7725	-31.97679
1.775	-32.29335
1.7775	-32.45467
1.78	-30.33953
1.7825	-25.50386
1.785	-18.87504
1.7875	-11.89569
1.79	-5.357205
1.7925	1.346527
1.795	8.24681
1.7975	14.09693
1.8	18.4336
1.8025	22.24504
1.805	25.55677
1.8075	27.02629
1.81	26.07979
1.8125	23.40387
1.815	19.4796
1.8175	14.0222
1.82	7.244673
1.8225	0.1314785
1.825	-6.087402
1.8275	-10.88335
1.83	-14.54043
1.8325	-17.54637
1.835	-19.9171
1.8375	-21.43686
1.84	-22.47417
1.8425	-23.4796
1.845	-24.49426
1.8475	-25.47838
1.85	-26.41445
1.8525	-26.79531
1.855	-26.08125
1.8575	-24.20061
1.86	-21.47274
1.8625	-18.5932
1.865	-16.36443
1.8675	-15.02007
1.87	-14.33938
1.8725	-14.13133
1.875	-13.69767
1.8775	-11.88566
1.88	-8.482308
1.8825	-4.012088
1.885	1.594952
1.8875	7.773858
1.89	12.75208
1.8925	16.03917
1.895	18.25952
1.8975	18.99328
1.9	18.02185
1.9025	16.8253
1.905	16.54895
1.9075	16.67337
1.91	16.24858
1.9125	14.64719
1.915	11.51194
1.9175	6.97392
1.92	1.685331
1.9225	-3.998367
1.925	-9.593401
1.9275	-14.46
1.93	-18.84616
1.9325	-23.05438
1.935	-26.37511
1.9375	-28.51064
1.94	-30.13584
1.9425	-31.46016
1.945	-32.11861
1.9475	-32.08635
1.95	-30.92676
1.9525	-27.32708
1.955	-21.27853
1.9575	-14.47573
1.96	-7.670744
1.9625	-0.2465406
1.965	7.937868
1.9675	16.27178
1.97	23.9454
1.9725	30.35881
1.975	35.8629
1.9775	40.93072
1.98	44.90848
1.9825	46.87587
1.985	46.82334
1.9875	45.12724
1.99	42.47668
1.9925	40.1449
1.995	38.63519
1.9975	36.85151
2	33.84181
2.0025	30.01155
2.005	25.75089
2.0075	20.67352
2.01	14.85867
2.0125	8.780119
2.015	2.521214
2.0175	-3.611834
2.02	-8.980482
2.0225	-13.45501
2.025	-17.07985
2.0275	-19.63613
2.03	-21.49248
2.0325	-23.10134
2.035	-24.07424
2.0375	-24.41249
2.04	-25.19326
2.0425	-26.61013
2.045	-27.39849
2.0475	-26.56028
2.05	-23.48705
2.0525	-18.41238
2.055	-12.99572
2.0575	-8.214056
2.06	-3.174567
2.0625	2.463732
2.065	7.513928
2.0675	11.44489
2.07	14.94331
2.0725	18.58091
2.075	22.3505
2.0775	25.25463
2.08	25.75448
2.0825	24.09965
2.085	22.90543
2.0875	23.96887
2.09	26.64581
2.0925	29.57296
2.095	31.40173
2.0975	30.65497
2.1	26.25647
2.1025	18.55005
2.105	9.643095
2.1075	1.8401
2.11	-4.464388
2.1125	-10.21667
2.115	-15.15107
2.1175	-17.95355
2.12	-19.37665
2.1225	-22.81772
2.125	-29.79329
2.1275	-37.65055
2.13	-43.07723
2.1325	-44.87285
2.135	-43.32471
2.1375	-39.88599
2.14	-35.90288
2.1425	-30.52653
2.145	-22.55732
2.1475	-13.55151
2.15	-6.029871
2.1525	-0.7007158
2.155	2.96626
2.1575	5.931508
2.16	9.574332
2.1625	14.4067
2.165	19.5864
2.1675	23.86512
2.17	26.17499
2.1725	25.85644
2.175	23.11595
2.1775	19.69598
2.18	18.08135
2.1825	18.70585
2.185	19.49096
2.1875	18.46676
2.19	15.16894
2.1925	10.27979
2.195	4.415364
2.1975	-2.563551
2.2	-10.11341
2.2025	-16.26126
2.205	-20.18056
2.2075	-22.37366
2.21	-23.14332
2.2125	-23.84145
2.215	-26.34506
2.2175	-29.97324
2.22	-31.96619
2.2225	-31.36462
2.225	-29.62027
2.2275	-27.99766
2.23	-26.58252
2.2325	-24.86959
2.235	-21.86029
2.2375	-17.07856
2.24	-11.7412
2.2425	-6.914944
2.245	-2.443667
2.2475	1.614466
2.25	5.134568
2.2525	8.579173
2.255	11.88819
2.2575	14.57657
2.26	16.61921
2.2625	17.81625
2.265	17.98425
2.2675	17.57213
2.27	16.69807
2.2725	14.91706
2.275	12.72382
2.2775	11.27577
2.28	10.2763
2.2825	8.38782
2.285	5.408781
2.2875	2.26806
2.29	-0.5562965
2.2925	-3.014308
2.295	-5.345127
2.2975	-8.249823
2.3	-11.49029
2.3025	-13.80166
2.305	-15.02849
2.3075	-16.12056
2.31	-17.39475
2.3125	-18.59655
2.315	-19.35659
2.3175	-19.22039
2.32	-18.10073
2.3225	-16.54515
2.325	-14.89734
2.3275	-12.63075
2.33	-8.857425
2.3325	-3.92993
2.335	0.3501549
2.3375	2.401436
2.34	2.645311
2.3425	3.022374
2.345	4.212809
2.3475	5.118592
2.35	5.7443
2.3525	7.21413
2.355	8.763042
2.3575	8.297137
2.36	5.070646
2.3625	-0.2531815
2.365	-6.21442
2.3675	-10.88618
2.37	-12.95094
2.3725	-13.18174
2.375	-13.24134
2.3775	-13.15495
2.38	-11.57535
2.3825	-7.719594
2.385	-3.111993
2.3875	-1.250715
2.39	-3.792393
2.3925	-8.220883
2.395	-11.59582
